Reference, Quantity, Value, Footprint, Datasheet
C1 C5 C20 C24 ,4,"0.1u 50V","Capacitor_SMD:C_0402_1005Metric","~"
C14 C15 C11 ,3,"2u2","Capacitor_SMD:C_0402_1005Metric","~"
C19 C18 ,2,"27p","Capacitor_SMD:C_0402_1005Metric","~"
C2 C4 C21 C23 ,4,"0.22u 50V","Capacitor_SMD:C_0402_1005Metric","~"
C22 ,1,"0.22u","Capacitor_SMD:C_0402_1005Metric","~"
C26 C13 C10 C16 C17 C12 C6 C7 C8 C9 C25 ,11,"0.1u","Capacitor_SMD:C_0402_1005Metric","~"
C3 ,1,"220u 50V","Capacitor_SMD:CP_Elec_10x10","~"
CN1 ,1,"XT30PW-M","maki_lib:XT30PW-M",""
CN2 CN3 ,2,"XT30PW","maki_lib:XT30PW",""
D1 D2 D3 ,3,"LED","LED_SMD:LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~"
J1 ,1,"USB_C_Receptacle","Connector_USB:USB_C_Receptacle_Amphenol_12401610E4-2A","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
J3 J2 J6 ,3,"Conn_01x04_Female","Connector_JST:JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical","~"
J4 J5 ,2,"Conn_01x06_Female","Connector_JST:JST_PH_B6B-PH-K_1x06_P2.00mm_Vertical","~"
J7 ,1,"Conn_01x03_Male","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","~"
J8 ,1,"Conn_01x03_Female","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Horizontal","~"
Q1 Q2 Q3 Q4 Q5 Q6 Q7 Q8 ,8,"TPN1R603PL","RP_MD:TSON_Advance","~"
R11 R10 ,2,"27","Resistor_SMD:R_0402_1005Metric","~"
R2 R3 R5 R6 R14 R15 R17 R18 ,8,"10","Resistor_SMD:R_0402_1005Metric","~"
R34 R35 R29 R31 R32 R33 R28 R30 R1 R7 R20 R21 R9 R24 R25 R13 R19 R22 R23 ,19,"10k","Resistor_SMD:R_0402_1005Metric","~"
R39 R37 R38 R36 ,4,"0","Jumper:SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm","~"
R4 R16 ,2,"0.001ohm 2W 1%","Resistor_SMD:R_2512_6332Metric","~"
R40 R41 ,2,"R","Resistor_SMD:R_0402_1005Metric","~"
R8 R12 R26 R27 R42 ,5,"1k","Resistor_SMD:R_0402_1005Metric","~"
SW4 SW3 SW2 SW1 ,4,"SW_Push","Button_Switch_SMD:SW_SPST_PTS810","~"
U1 U3 U6 U8 ,4,"DGD0506A","Package_SO:MSOP-10_3x3mm_P0.5mm","https://www.diodes.com/assets/Datasheets/DGD0506A.pdf"
U10 ,1,"NJM78L005","Package_TO_SOT_SMD:SOT-89-3","http://www.st.com/content/ccc/resource/technical/document/datasheet/15/55/e5/aa/23/5b/43/fd/CD00000446.pdf/files/CD00000446.pdf/jcr:content/translations/en.CD00000446.pdf"
U2 U7 ,2,"MCP6C02T","Package_TO_SOT_SMD:SOT-23-6_Handsoldering",""
U4 ,1,"W25Q16JV","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://www.mouser.jp/ProductDetail/Winbond/W25Q16JVSNIQ?qs=qSfuJ%252Bfl%2Fd5tzEnNt99V4A%3D%3D"
U5 ,1,"RP2040","RP_MD:RP2040",""
U9 ,1,"MAX3458ED","Package_SO:SOP-8_3.9x4.9mm_P1.27mm","https://akizukidenshi.com/download/ds/htc/max3485.pdf"
Y1 ,1,"445I23D12M00000","RP_MD:5_0mmx3_2mm_glass_seal_pak","~"